Measurement: #2
Date: 2017-08-06T18:31:00.5837168-05:00
MLIC serial number: MLIC_07
Comments: 
Calibration info: [2017-08-06 15:15:05]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 25 [cm]
Snout distance: 0 [cm]
FieldSize: 10 [cm]
SSD: 230 [cm]
Beam delivery mode: UniformScanning
Sampling time: 300 [ms]
Number of samples: 283
Measurement mode: TriggerMode
Measurement time: (n/a)
Build-up thickness: 5 [cm]
Build-up density: 1 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 179
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 77

Curves: 1
Curve depth: [mm]
51.263;53.126;54.989;56.852;58.715;60.578;62.441;64.304;66.167;68.030;69.893;71.756;73.619;75.482;77.345;79.208;81.071;82.934;84.797;86.660;88.523;90.386;92.249;94.112;95.975;97.838;99.701;101.564;103.427;105.290;107.153;109.016;110.879;112.742;114.605;116.468;118.331;120.194;122.057;123.920;125.783;127.646;129.509;131.372;133.235;135.098;136.961;138.824;140.687;142.550;144.413;146.276;148.139;150.002;151.865;153.728;155.591;157.454;159.317;161.180;163.043;164.906;166.769;168.632;170.495;172.358;174.221;176.084;177.947;179.810;181.673;183.536;185.399;187.262;189.125;190.988;194.714;196.577;198.440;200.303;202.166;204.029;205.892;207.755;209.618;211.481;213.344;215.207;217.070;218.933;220.796;222.659;224.522;226.385;228.248;230.111;231.974;233.837;235.700;237.563;239.426;241.289;243.152;245.015;246.878;248.741;250.604;252.467;254.330;256.193;258.056;259.919;261.782;263.645;265.508;267.371;269.234;271.097;272.960;274.823;276.686;278.549;280.412;282.275;284.138;286.001;287.864;289.727;291.590;293.453;295.316;297.179;299.042;300.905;302.768;304.631;306.494;308.357;310.220;312.083;313.946;315.809;317.672;319.535;321.398;323.261;325.124;326.987;328.850;330.713;332.576;334.439;336.302;338.165;340.028;341.891;343.754;345.617;347.480;349.343;351.206;353.069;354.932;356.795;358.658;360.521;362.384;364.247;366.110;367.973;369.836;371.699;373.562;375.425;377.288;379.151;381.014;382.877;384.740
Curve gains: [counts]
161873.102;161561.344;161120.325;160973.411;160558.601;160340.040;160200.814;160149.823;159837.523;159757.410;159701.413;159761.661;159680.362;159555.476;159686.625;159850.288;159613.428;159607.800;159307.567;159750.175;159439.833;159846.140;160199.073;160777.148;161024.303;161385.841;161635.551;161716.879;161481.632;161308.741;161207.225;161278.619;161007.902;160873.004;160935.995;160978.478;161005.500;161057.126;161328.573;161411.114;161377.727;161671.078;161551.456;161793.440;161977.492;161927.492;162234.223;162468.108;162634.407;163001.207;163294.298;163794.956;164155.703;164608.881;165072.360;165423.250;166099.099;166616.048;166853.570;167491.096;168485.919;169466.138;170436.214;171658.903;172145.450;171861.299;171188.538;170777.950;171242.553;171695.051;173017.723;172758.878;171842.972;170623.339;169953.986;170503.718;172253.348;173184.916;171982.781;171763.838;170892.806;170397.980;171320.806;171821.478;171504.589;171351.871;171106.035;171430.323;171248.178;171407.355;171303.110;171038.258;170454.442;170943.658;170748.609;171022.239;170368.649;171042.709;170579.930;171047.151;170465.966;170424.325;170810.987;171061.317;170522.635;170537.418;170169.469;170349.383;169217.875;170436.385;170536.703;169983.542;169151.075;169125.817;168335.021;168958.112;169001.042;169922.362;169620.819;170478.759;169469.090;169616.952;168162.909;168679.154;168468.197;168650.525;169595.505;169871.128;170052.442;169647.564;168090.102;167485.885;167757.011;169233.773;170424.980;169846.579;167026.602;159593.501;142870.571;118321.026;85129.069;52133.132;26403.793;11013.782;3837.218;1478.466;957.739;699.401;581.605;545.775;547.388;472.270;519.776;667.807;464.989;785.268;461.452;528.098;439.943;444.148;377.347;600.834;583.666;325.382;399.101;493.508;384.089;390.209;316.585;421.189;340.730;335.528;215.860;0.000;0.000;0.000;0.000;0.000;0.000

Samples: 283
