Measurement: #12
Date: 2017-08-06T19:15:47.3611002-05:00
MLIC serial number: MLIC_07
Comments: 
Calibration info: [2017-08-06 15:15:05]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 25 [cm]
Snout distance: 0 [cm]
FieldSize: 10 [cm]
SSD: 230 [cm]
Beam delivery mode: UniformScanning
Sampling time: 300 [ms]
Number of samples: 179
Measurement mode: TriggerMode
Measurement time: (n/a)
Build-up thickness: 5 [cm]
Build-up density: 1 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 179
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 77

Curves: 1
Curve depth: [mm]
51.263;53.126;54.989;56.852;58.715;60.578;62.441;64.304;66.167;68.030;69.893;71.756;73.619;75.482;77.345;79.208;81.071;82.934;84.797;86.660;88.523;90.386;92.249;94.112;95.975;97.838;99.701;101.564;103.427;105.290;107.153;109.016;110.879;112.742;114.605;116.468;118.331;120.194;122.057;123.920;125.783;127.646;129.509;131.372;133.235;135.098;136.961;138.824;140.687;142.550;144.413;146.276;148.139;150.002;151.865;153.728;155.591;157.454;159.317;161.180;163.043;164.906;166.769;168.632;170.495;172.358;174.221;176.084;177.947;179.810;181.673;183.536;185.399;187.262;189.125;190.988;194.714;196.577;198.440;200.303;202.166;204.029;205.892;207.755;209.618;211.481;213.344;215.207;217.070;218.933;220.796;222.659;224.522;226.385;228.248;230.111;231.974;233.837;235.700;237.563;239.426;241.289;243.152;245.015;246.878;248.741;250.604;252.467;254.330;256.193;258.056;259.919;261.782;263.645;265.508;267.371;269.234;271.097;272.960;274.823;276.686;278.549;280.412;282.275;284.138;286.001;287.864;289.727;291.590;293.453;295.316;297.179;299.042;300.905;302.768;304.631;306.494;308.357;310.220;312.083;313.946;315.809;317.672;319.535;321.398;323.261;325.124;326.987;328.850;330.713;332.576;334.439;336.302;338.165;340.028;341.891;343.754;345.617;347.480;349.343;351.206;353.069;354.932;356.795;358.658;360.521;362.384;364.247;366.110;367.973;369.836;371.699;373.562;375.425;377.288;379.151;381.014;382.877;384.740
Curve gains: [counts]
160796.172;160246.407;159955.970;159575.383;159430.530;159157.653;159139.324;158929.187;158819.311;158686.827;158657.482;158587.530;158682.165;158722.647;158766.621;158758.353;158757.448;158718.364;158612.450;158727.210;158509.345;158882.429;159236.404;159666.350;160012.698;160453.501;160706.765;160615.937;160586.695;160807.058;160714.588;160782.576;160856.626;160804.226;161134.953;161123.056;161254.598;161130.597;161487.114;161369.042;161513.035;161884.407;161759.457;162147.319;162255.085;162223.933;162584.876;162634.588;163027.745;163246.396;163648.531;163807.030;164236.581;164539.253;164871.634;164949.889;165524.101;165960.824;165956.570;166562.486;167244.606;167722.859;168047.276;168936.185;169806.261;170661.058;171331.350;171879.850;172604.671;172826.988;174215.587;174758.146;175772.484;176686.047;177738.342;179018.585;181026.470;183158.463;183671.257;186176.930;187524.631;188909.308;192184.738;195076.048;197222.409;200285.169;203900.228;209031.564;213540.992;218956.692;222461.115;224405.122;223644.714;224741.966;224655.422;225867.724;225348.323;226787.633;226000.772;226664.411;224809.968;223604.508;223776.484;224579.915;224834.457;226686.914;227501.194;228146.042;224432.095;225176.423;224874.093;224908.102;225137.794;227498.393;226754.682;225982.749;216475.877;196638.596;159126.059;112875.304;65959.079;31668.397;12390.014;3864.124;1252.160;630.294;459.264;485.018;398.048;345.468;594.500;608.734;463.195;403.798;392.822;471.791;550.376;409.843;558.490;370.585;359.401;339.235;464.885;344.724;315.587;336.238;534.296;372.270;334.233;313.680;330.997;288.526;316.215;454.003;295.642;526.365;279.352;369.226;282.950;266.552;237.349;375.079;456.710;219.409;246.555;367.131;246.009;247.236;204.306;283.871;220.730;218.345;135.334;0.000;0.000;0.000;0.000;0.000;0.000

Samples: 179
